job_id|job_basename|job_directory|job_status|program|coords_from|xyz_filename
10008597|h2o2_water_gau_b3lyp_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008598|h2o2_water_gau_b3lyp_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008599|h2o2_water_gau_m06-2x_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008600|h2o2_water_gau_m06-2x_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008601|h2o2_water_gau_m06-2x_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008602|h2o2_water_gau_m06-2x_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008603|h2o2_water_gau_m08-hx_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008604|h2o2_water_gau_m08-hx_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008605|h2o2_water_gau_m08-hx_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008606|h2o2_water_gau_m08-hx_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008607|h2o2_water_gau_pbeo_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008608|h2o2_water_gau_pbeo_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008609|h2o2_water_gau_pbeo_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008610|h2o2_water_gau_pbeo_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008564|oh-radical_gas_crest|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|CREST||
